Буква,к-сть,Частота,Ентропія,Загальна Ентропія,Надлишковість
 и,2955,0.01078329410476764,0.07046945484976466,,
 т,1982,0.007232652763333151,0.051433269910625745,,
ол,1769,0.006455379787253453,0.046964710364248825,,
ьк,246,0.0008976955498385243,0.009086013062378114,,
о ,5773,0.02106665206999106,0.11731797615397287,,
я ,2459,0.00897330632948346,0.06101978077907535,,
по,2460,0.008976955498385243,0.061039329947141625,,
жу,56,0.00020435345849982667,0.0025046879424193763,,
еб,234,0.0008539055230171328,0.008704402013535225,,
ку,622,0.002269783056908789,0.01993602634746065,,
ю ,746,0.002722280000729834,0.02319646300950624,,
бо,560,0.0020435345849982665,0.018258404473414033,,
вь,172,0.0006276570511066105,0.006676849937294373,,
ас,1162,0.004240334263871403,0.03342064519867323,,
р ,477,0.0017406535661503094,0.015955100711894845,,
ош,223,0.0008137646650975241,0.008351748738009868,,
иб,172,0.0006276570511066105,0.006676849937294373,,
ал,2315,0.008447826007626762,0.058181902452832016,,
ся,1036,0.0037805389822467934,0.030422724392048253,,
ог,1176,0.00429142262849636,0.03374915641115531,,
ор,1782,0.006502818982976627,0.04724115275051215,,
ью,90,0.0003284252011604357,0.0038005848854518846,,
ов,1944,0.007093984345065411,0.05064528888823356,,
ил,1722,0.00628386884886967,0.045961041294208076,,
